,discoverymethod,pl_masse,pl_name,pl_orbper,pl_rade
1633,Transit,,Kepler-1869 c,1.7168283,0.74
1634,Transit,,Kepler-763 d,6.50327035,1.67
1635,Transit,,Kepler-763 c,4.09667624,1.42
1636,Transit,,Kepler-784 c,17.157236,1.55
1637,Transit,,Kepler-290 d,0.76401755,0.86
1638,Transit,,Kepler-297 d,150.0189511,32.6
1639,Transit,,Kepler-1969 b,6.64752007,1.682
1640,Transit,,Kepler-1883 b,103.427002,3.251
1641,Transit,4385.87,Kepler-27 c,31.3309,4.9
1642,Transit,,Kepler-1987 e,8.74292005,1.92
1643,Transit,,Kepler-1987 c,3.64830183,1.33
1644,Transit,,Kepler-1987 b,2.345863,1.23
1645,Radial Velocity,,TYC 2187-512-1 b,691.9,
1646,Transit,,K2-401 b,6.293099,2.262
1647,Transit,,Kepler-1786 b,78.5460968,3.163
1648,Transit,,Kepler-1709 b,65.70459747,3.124
1649,Transit,,Kepler-1801 b,10.44089985,2.709
1650,Transit,,Kepler-1814 b,2.93535996,2.37
1651,Transit,,Kepler-1869 b,8.16736031,1.12
1652,Transit,,Kepler-1921 b,20.03479958,2.895
1653,Transit,,Kepler-1894 b,2.76266003,1.201
1654,Transit,,Kepler-1992 b,15.6112238,0.91
1655,Transit,,Kepler-1983 b,7.32851947,2.33
1656,Transit,,Kepler-1977 b,4.53702121,1.66
1657,Transit,,Kepler-1988 b,11.49500229,1.53
1658,Transit,,Kepler-1994 b,4.61225043,0.51
1659,Transit,23.51942,HATS-38 b,4.375021,6.882
1660,Transit,,Kepler-1716 b,35.58100128,2.425
1661,Transit,,K2-398 c,18.787839,5.098
1662,Transit,,Kepler-1991 c,22.79020351,2.57
1663,Transit,,Kepler-1991 b,13.26079792,1.47
1664,Transit,,Kepler-1987 d,5.64491415,2.66
1665,Transit,,Kepler-1669 b,9.51216,2.78
1666,Transit Timing Variations,,Kepler-416 c,12.209,
1667,Transit,,Kepler-549 c,117.040498,2.93
1668,Transit,,Kepler-1610 c,44.9851885,2.09
1669,Transit,,Kepler-1959 b,6.38669014,1.143
1670,Microlensing,31.78284,KMT-2021-BLG-0320L b,,
1671,Microlensing,120.77479,KMT-2021-BLG-1303L b,,
1672,Microlensing,1450.0,KMT-2016-BLG-1820L b,,
1673,Transit,959.84179,TOI-4600 b,82.6869,6.8
1674,Radial Velocity,17.2,HD 88986 b,146.05,2.49
1675,Transit,,Kepler-125 c,5.774464,0.74
1676,Microlensing,282.86728,OGLE-2018-BLG-0932L b,,
1677,Microlensing,308.29355,OGLE-2018-BLG-1647L b,,
1678,Microlensing,4923.0,KMT-2016-BLG-2142L b,,
1679,Microlensing,301.93699,OGLE-2018-BLG-1367L b,,
1680,Transit,1907.0,Kepler-46 b,33.60134,9.057
1681,Transit,,Kepler-249 b,3.306539,1.09
1682,Transit,,Kepler-1911 b,5.9907999,1.011
1683,Transit,,Kepler-487 c,38.6519976,2.68
1684,Transit,,Kepler-799 b,133.4605235,6.88
