# Name: H2O
# Source: 10.1093/mnras/sty1877
# From file: /home/simon/Downloads/1H2-16O__POKAZATEL__R15000_0.3-50mu.xsec.TauREx.h5
# Selected xsec at p = 0.001 bar and T = 1000.0 K
# Binned using R=100
wavel [m],x-sec
7.70743200389986e-07,6.6998404192429e-26
7.785409381172918e-07,9.73599874634007e-26
7.864175668599621e-07,3.1878726012820153e-25
7.943738847715794e-07,3.7582894074208717e-25
8.024106980807791e-07,4.852267821785722e-25
8.105288211729477e-07,3.1243920874963435e-24
8.187290766727445e-07,1.9377074029982007e-24
8.270122955274586e-07,2.5822833487854692e-24
8.353793170912131e-07,3.538675207621876e-24
8.438309892100151e-07,2.311929577236987e-24
8.523681683076743e-07,7.895358138091774e-25
8.609917194725812e-07,3.617144401949473e-25
8.697025165453697e-07,2.571874108929097e-25
8.78501442207467e-07,1.8724967817039468e-25
8.873893880705339e-07,1.106441885138251e-24
8.963672547668165e-07,6.780772718354915e-24
9.054359520404086e-07,3.1135712513228465e-24
9.145963988394353e-07,6.081717519469161e-24
9.238495234091741e-07,2.2197255899263987e-23
9.331962633861154e-07,8.37429616734438e-23
9.426375658929742e-07,2.924980357759529e-23
9.521743876346646e-07,4.06754896579631e-23
9.618076949952434e-07,2.994196018556151e-23
9.715384641358367e-07,2.795599242900441e-23
9.81367681093556e-07,1.2992249601381586e-23
9.912963418814162e-07,7.804395496825159e-24
1.0013254525892595e-06,3.2678102420389387e-24
1.01145602948571e-06,1.7150953292258612e-24
1.0216890991211474e-06,1.2219734893173633e-24
1.032025698431739e-06,5.698381825895718e-25
1.042466874844502e-06,3.9340876604888014e-25
1.0530136863834529e-06,5.3919875248115635e-25
1.063667201776811e-06,5.949154088649346e-25
1.0744285005652982e-06,1.5077887630580933e-24
1.0852986732115329e-06,1.7598845801015438e-24
1.0962788212105209e-06,1.431694691438058e-23
1.1073700572012818e-06,6.759514310765423e-23
1.1185735050795865e-06,8.565013269091047e-23
1.1298903001118479e-06,9.273185501854619e-23
1.1413215890501613e-06,5.63561885588105e-23
1.1528685302485027e-06,1.032302032873423e-22
1.164532293780109e-06,9.833612677889975e-23
1.1763140615560415e-06,6.382521918284385e-23
1.1882150274449577e-06,1.375018863209862e-23
1.2002363973940812e-06,1.0744404965425085e-23
1.2123793895514027e-06,4.325264796330665e-24
1.2246452343891238e-06,4.4541152480480694e-24
1.2370351748283363e-06,2.5028298745384233e-24
1.2495504663649738e-06,1.973117528468932e-24
1.2621923771970325e-06,2.0763767504933793e-24
1.2749621883530782e-06,4.648367338473414e-24
1.2878611938220573e-06,9.866321920850088e-24
1.3008907006844186e-06,1.392137656992693e-23
1.31405202924456e-06,1.0659999873458067e-23
1.3273465131646234e-06,4.632968130809299e-23
1.3407754995996298e-06,1.0818500450486848e-21
1.354340349333995e-06,8.814882727499453e-22
1.3680424369194185e-06,9.244594452906562e-22
1.3818831508141684e-06,1.1132453891650586e-21
1.3958638935237752e-06,1.228130163791065e-21
1.4099860817431535e-06,1.425800700075742e-21
1.4242511465001572e-06,4.94761484878287e-22
1.438660533300589e-06,1.2214277252529057e-21
1.4532157022746736e-06,3.3944192592567426e-22
1.467918128325018e-06,2.383632575635495e-22
1.482769301276066e-06,1.3922442630713926e-22
1.497770726025062e-06,1.4906533980778164e-22
1.5129239226945483e-06,8.449202692208583e-23
1.5282304267864022e-06,4.8296188698958153e-23
1.5436917893374297e-06,2.958892150033789e-23
