# Name: NH3
# Source: 10.1093/mnras/stz2778
# From file: /home/simon/Downloads/14N-1H3__CoYuTe.R15000_0.3-50mu.xsec.TauREx.h5
# Selected xsec at p = 0.001 bar and T = 1000.0 K
# Binned using R=100
wavel [m],x-sec
7.553812452579415e-07,4.55096874875661e-25
7.630235635186369e-07,6.450680490279947e-25
7.70743200389986e-07,7.9708971702578465e-25
7.785409381172918e-07,2.0539858194265184e-24
7.864175668599621e-07,3.5042971427387446e-24
7.943738847715794e-07,3.523808584499879e-24
8.024106980807791e-07,2.4256637220484883e-24
8.105288211729477e-07,1.4672940467813557e-24
8.187290766727445e-07,9.605116780666572e-25
8.270122955274586e-07,6.710873361522856e-25
8.353793170912131e-07,5.025319181653601e-25
8.438309892100151e-07,4.956362801530211e-25
8.523681683076743e-07,7.183275524104076e-25
8.609917194725812e-07,1.2199206522233904e-24
8.697025165453697e-07,2.2641303329186897e-24
8.78501442207467e-07,3.889553374990295e-24
8.873893880705339e-07,4.516573743680921e-24
8.963672547668165e-07,5.2180274083234675e-24
9.054359520404086e-07,4.513390742576264e-24
9.145963988394353e-07,3.919712761256129e-24
9.238495234091741e-07,5.737357324919347e-24
9.331962633861154e-07,5.490244989155009e-24
9.426375658929742e-07,4.817311331747281e-24
9.521743876346646e-07,3.6656150296951485e-24
9.618076949952434e-07,3.511477752485306e-24
9.715384641358367e-07,5.970295897061953e-24
9.81367681093556e-07,1.344698387868249e-23
9.912963418814162e-07,1.5529949000439763e-23
1.0013254525892595e-06,1.843367405313564e-23
1.01145602948571e-06,4.292189799334856e-23
1.0216890991211474e-06,6.233204808810941e-23
1.032025698431739e-06,5.2698288629866477e-23
1.042466874844502e-06,4.626105114717963e-23
1.0530136863834529e-06,3.2521894531465067e-23
1.063667201776811e-06,2.4236413912619278e-23
1.0744285005652982e-06,1.7594385350258005e-23
1.0852986732115329e-06,1.463258134266304e-23
1.0962788212105209e-06,1.0821590790456383e-23
