# Name: CO2
# Source: qqq
# From file: /home/simon/Downloads/12C-16O2__UCL-4000.R15000_0.3-50mu.xsec.TauREx.h5
# Selected xsec at p = 0.001 bar and T = 1000.0 K
# Binned using R=100
wavel [m],x-sec
7.553812452579415e-07,3.9232083880867675e-30
7.630235635186369e-07,1.677966115981004e-30
7.70743200389986e-07,1.1851873306961197e-30
7.785409381172918e-07,5.717365056868318e-29
7.864175668599621e-07,6.755351768112413e-28
7.943738847715794e-07,4.662725485456839e-28
8.024106980807791e-07,2.8709120606866757e-28
8.105288211729477e-07,1.2658054313062662e-28
8.187290766727445e-07,4.2412879568991673e-29
8.270122955274586e-07,2.00432779066726e-29
8.353793170912131e-07,1.841183866748895e-29
8.438309892100151e-07,1.3348271491051632e-29
8.523681683076743e-07,8.225366816812802e-30
8.609917194725812e-07,4.725581061493096e-30
8.697025165453697e-07,1.3639079298937495e-27
8.78501442207467e-07,1.2135426901243449e-27
8.873893880705339e-07,6.62745623434243e-28
8.963672547668165e-07,3.276014518924456e-28
9.054359520404086e-07,1.3813071572948906e-28
9.145963988394353e-07,8.795701703464736e-29
9.238495234091741e-07,3.467501233780005e-28
9.331962633861154e-07,6.073600671523762e-28
9.426375658929742e-07,4.819118310898773e-28
9.521743876346646e-07,3.1864143668893246e-28
9.618076949952434e-07,1.5697728686900153e-28
9.715384641358367e-07,7.811444771537871e-29
9.81367681093556e-07,1.1685940565627677e-28
9.912963418814162e-07,1.767772566914158e-28
1.0013254525892595e-06,1.7459429659341908e-28
1.01145602948571e-06,1.1572492875546125e-28
1.0216890991211474e-06,8.287881506942353e-29
1.032025698431739e-06,2.0578167543047197e-27
1.042466874844502e-06,7.4478904082676e-27
1.0530136863834529e-06,2.1988931792715324e-26
1.063667201776811e-06,1.7285898921033196e-26
1.0744285005652982e-06,1.185013435257294e-26
1.0852986732115329e-06,6.0237107542086605e-27
1.0962788212105209e-06,3.1048192243802593e-27
1.1073700572012818e-06,1.7433420291012605e-27
1.1185735050795865e-06,1.652754297269438e-27
1.1298903001118479e-06,1.4416626466188085e-27
1.1413215890501613e-06,2.1299622482037494e-27
1.1528685302485027e-06,1.551662916653783e-27
1.164532293780109e-06,1.1744550017557182e-27
1.1763140615560415e-06,7.947379997929658e-28
1.1882150274449577e-06,5.840384979489677e-28
1.2002363973940812e-06,1.6352290172287808e-25
1.2123793895514027e-06,4.352637592409335e-25
1.2246452343891238e-06,3.998681707255179e-25
1.2370351748283363e-06,3.246187541858731e-25
1.2495504663649738e-06,1.7446452114469233e-25
1.2621923771970325e-06,8.527477136168453e-26
1.2749621883530782e-06,3.026886411659032e-26
1.2878611938220573e-06,5.3453282689513e-26
1.3008907006844186e-06,3.4601649299334126e-26
1.31405202924456e-06,9.582205707608232e-26
1.3273465131646234e-06,1.3003746512367292e-25
1.3407754995996298e-06,1.065884649290208e-25
1.354340349333995e-06,7.548749244716487e-26
1.3680424369194185e-06,4.887047272057859e-26
