Target Name,Mass [MJ],Mass [ME],Radius [RJ],Radius [RE],SMA [au],P [d],T_eq [K],Host,Teff [K],log(L) [Lsun],R [Rsun],TD [%],a/Rs,M [Msun],Instrument,Filter,Dispersion,λ [μm],# Obs.,EAP [mon],Proposal ID,Type,Observation Date(s) [MM/DD/YY]
HAT-P-12 b,0.2105,66.8900,0.9190,10.3015,0.0380,,963,K?,4652,-0.679,0.7036,1.8001,11.7306,0.7400,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,1281,Transit,12/20/23
HAT-P-12 b,0.2105,66.8900,0.9190,10.3015,0.0380,,963,K?,4652,-0.679,0.7036,1.8001,11.7306,0.7400,NIRSpec / BOTS,F290LP,G395M,2.87 – 5.18,1,12,1281,Transit,02/11/23
HAT-P-26 b,0.0585,18.5900,0.6330,7.0956,0.0480,,1001,K1,5061,-0.359,0.8598,0.5719,11.9744,0.8460,MIRI / LRS,-,-,5.0 – 12.0,1,12,1177,Transit,06/10/23
HAT-P-26 b,0.0585,18.5900,0.6330,7.0956,0.0480,,1001,K1,5061,-0.359,0.8598,0.5719,11.9744,0.8460,MIRI / LRS,-,-,5.0 – 14.0,1,12,1312,Eclipse,06/17/23
HAT-P-26 b,0.0585,18.5900,0.6330,7.0956,0.0480,,1001,K1,5061,-0.359,0.8598,0.5719,11.9744,0.8460,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,1312,Transit,01/14/23
HAT-P-26 b,0.0585,18.5900,0.6330,7.0956,0.0480,,1001,K1,5061,-0.359,0.8598,0.5719,11.9744,0.8460,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,1312,Transit,06/15/23
HAT-P-26 b,0.0585,18.5900,0.6330,7.0956,0.0480,,1001,K1,5061,-0.359,0.8598,0.5719,11.9744,0.8460,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,1312,Eclipse,06/04/23
HATS-72 b,0.1254,39.8500,0.7224,8.0977,0.0670,,739,K?,4656,-0.659,0.7214,1.0581,0.0665,0.7311,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,2594,Transit,06/14/23
HATS-72 b,0.1254,39.8500,0.7224,8.0977,0.0670,,739,K?,4656,-0.659,0.7214,1.0581,0.0665,0.7311,NIRSpec / BOTS,F290LP,G395M,2.87 – 5.18,1,12,2594,Transit,11/29/23
HD 149026 b,0.3570,113.4400,0.8110,9.0909,0.0430,,1626,G0 IV,6084,0.420,1.4600,0.3256,6.3127,1.1400,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,1,12,1274,Eclipse,08/04/22
HD 149026 b,0.3570,113.4400,0.8110,9.0909,0.0430,,1626,G0 IV,6084,0.420,1.4600,0.3256,6.3127,1.1400,NIRCam / GTS,F322W2,GRISM,2.6 – 3.9,1,12,1274,Eclipse,07/15/22
HD 15337 b,0.0227,7.2100,0.1460,1.6366,0.0530,,1001,K1,5175,-0.339,0.8482,0.0313,13.3042,0.8800,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.27,1,0,2512,Transit,07/16/23
HD 15337 c,0.0277,8.8000,0.2250,2.5221,0.1240,,642,K1,5175,-0.339,0.8482,0.0743,31.2965,0.8800,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.27,2,0,2512,Transit,07/24/23;  08/10/23
HD 189733 b,1.1380,361.6200,1.1000,12.3305,0.0310,,1209,K2,3213,-2.319,0.2236,25.5367,29.7993,0.1929,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,1,12,1185,Eclipse,09/28/22
HD 189733 b,1.1380,361.6200,1.1000,12.3305,0.0310,,1209,K2,3213,-2.319,0.2236,25.5367,29.7993,0.1929,NIRCam / GTS,F322W2,GRISM,2.6 – 3.9,1,12,1274,Eclipse,08/26/22
HD 189733 b,1.1380,361.6200,1.1000,12.3305,0.0310,,1209,K2,3213,-2.319,0.2236,25.5367,29.7993,0.1929,MIRI / MRS,SHORT,-,Short,1,12,1633,Transit,04/24/23
HD 189733 b,1.1380,361.6200,1.1000,12.3305,0.0310,,1209,K2,3213,-2.319,0.2236,25.5367,29.7993,0.1929,MIRI / MRS,MEDIUM,-,Medium,1,12,1633,Transit,05/31/23
HD 189733 b,1.1380,361.6200,1.1000,12.3305,0.0310,,1209,K2,3213,-2.319,0.2236,25.5367,29.7993,0.1929,MIRI / MRS,LONG,-,Long,1,12,1633,Transit,08/23/22
HD 189733 b,1.1380,361.6200,1.1000,12.3305,0.0310,,1209,K2,3213,-2.319,0.2236,25.5367,29.7993,0.1929,NIRCam / GTS,F322W2,GRISM,2.6 – 3.9,1,12,1633,Transit,08/30/22
HD 189733 b,1.1380,361.6200,1.1000,12.3305,0.0310,,1209,K2,3213,-2.319,0.2236,25.5367,29.7993,0.1929,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,1,12,1633,Transit,08/25/22
HD 189733 b,1.1380,361.6200,1.1000,12.3305,0.0310,,1209,K2,3213,-2.319,0.2236,25.5367,29.7993,0.1929,MIRI / LRS,-,-,5.0 – 14.0,1,12,2001,Transit,09/16/22
HD 189733 b,1.1380,361.6200,1.1000,12.3305,0.0310,,1209,K2,3213,-2.319,0.2236,25.5367,29.7993,0.1929,MIRI / LRS,-,-,5.0 – 14.0,2,12,2021,Eclipse,10/18/22;  08/25/23
HD 209458 b,0.6900,219.2600,1.3200,14.7965,0.0470,,1448,G0,6026,0.231,1.2000,1.2768,8.5029,1.0691,NIRCam / GTS,F322W2,GRISM,2.6 – 3.9,1,12,1274,Eclipse,11/10/22
HD 209458 b,0.6900,219.2600,1.3200,14.7965,0.0470,,1448,G0,6026,0.231,1.2000,1.2768,8.5029,1.0691,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,1,12,1274,Eclipse,11/06/22
HD 209458 b,0.6900,219.2600,1.3200,14.7965,0.0470,,1448,G0,6026,0.231,1.2000,1.2768,8.5029,1.0691,MIRI / LRS,-,-,5.0 – 14.0,1,12,2667,Transit,06/02/23
HD 80606 b,4.1641,1323.2300,0.9800,10.9853,0.4600,,405,G5,5565,-0.002,1.0665,0.891,92.7693,1.0741,MIRI / LRS,-,-,5.0 – 14.0,1,12,2008,Phase Curve,Long Range
