,disc_year,discoverymethod,pl_name,pl_orbper,pl_rade
4807,2017,Transit,TRAPPIST-1 g,12.352446,1.129
4808,2019,Transit,K2-32 e,4.34934,1.212
4809,2022,Transit,K2-386 b,7.473223,2.32
4810,2022,Transit,K2-402 b,17.27474,2.678
4811,2018,Transit,K2-280 b,19.89526,7.5
4812,2018,Transit,K2-219 b,3.901287,1.348
4813,2011,Transit,Qatar-2 b,1.33711647,14.056
4814,2018,Transit,K2-141 c,7.7485,7.0
4815,2022,Transit,EPIC 206317286 c,17.515472,2.094
4816,2023,Transit,K2-415 b,4.0179694,1.015
4817,2018,Transit,K2-218 b,8.679885,2.569
4818,2018,Transit,K2-213 b,8.13087,1.514
4819,2015,Transit,K2-8 b,10.35239,3.58
4820,2016,Transit,K2-37 d,14.09189,2.73
4821,2021,Transit,EPIC 201595106 b,0.877214,1.3
4822,2022,Transit,K2-405 b,3.435471,4.569
4823,2022,Transit,K2-374 b,4.521953,1.593
4824,2022,Transit,K2-384 e,9.715043,1.345
4825,2023,Transit,K2-417 b,6.535,3.31
4826,2016,Transit,K2-39 b,4.60543,6.277
4827,2019,Transit,K2-290 c,48.36685,11.276
4828,2021,Transit,K2-358 b,11.2510285,2.68
4829,2018,Transit,K2-215 b,8.269648,2.124
4830,2016,Transit,EPIC 211822797 b,21.1701963,1.92
4831,2016,Radial Velocity,GJ 536 b,8.7076,
4832,2021,Radial Velocity,HIP 75092 b,926.4,
4833,2021,Radial Velocity,HIP 114933 b,1481.6,
4834,2021,Imaging,CFHTWIR-Oph 98 b,8040000.0,20.849
4835,2016,Transit,Kepler-1366 b,2.16457097,1.43
4836,2005,Imaging,AB Pic b,,
4837,2016,Microlensing,OGLE-2012-BLG-0950L b,,
4838,2019,Microlensing,KMT-2018-BLG-1990L b,,
4839,2012,Microlensing,OGLE-2011-BLG-0251L b,,
4840,2004,Microlensing,OGLE-2003-BLG-235L b,,
4841,2013,Microlensing,MOA-2008-BLG-379L b,,
4842,2020,Radial Velocity,GJ 9689 b,18.27,
4843,2016,Transit,Kepler-1414 b,3.51576315,1.23
4844,2016,Transit,Kepler-1477 b,11.55530021,1.18
4845,2021,Radial Velocity,HD 93385 b,7.3426,
4846,2021,Radial Velocity,HD 93385 c,13.18,
4847,2021,Radial Velocity,HD 93385 d,45.85,
4848,2021,Radial Velocity,HD 96700 b,8.1245,
4849,2021,Radial Velocity,HD 96700 c,19.88,
4850,2021,Radial Velocity,HD 96700 d,103.5,
4851,2021,Radial Velocity,HD 189567 b,14.288,
4852,2021,Radial Velocity,HD 189567 c,33.688,
4853,2010,Imaging,HIP 78530 b,,
4854,2016,Transit,Kepler-749 b,17.31716585,3.1
4855,1992,Pulsar Timing,PSR B1257+12 d,98.2114,
4856,2016,Transit,Kepler-1133 b,11.55562343,1.97
4857,2014,Transit,Kepler-1705 b,9.03502,2.03
4858,2016,Transit,Kepler-1646 b,4.48558383,1.23
4859,2016,Transit,K2-60 b,3.00265,7.656
4860,2016,Transit,K2-88 b,4.6122,1.23
4861,2018,Transit,K2-172 b,14.316941,1.666
4862,2018,Transit,HATS-36 b,4.175186,12.92
4863,2018,Transit,K2-254 c,12.11839,2.19
4864,2014,Transit,Kepler-119 c,4.125103,0.92
4865,2016,Transit,Kepler-697 b,3.70987065,4.13
4866,2016,Transit,Kepler-1432 b,23.9109011,2.22
4867,2014,Transit,Kepler-233 c,60.418955,2.71
4868,2016,Transit,Kepler-1384 b,15.36262753,1.94
4869,2012,Microlensing,OGLE-2012-BLG-0026L b,,
4870,2013,Imaging,ROXs 42 B b,,
4871,2013,Transit,Kepler-396 c,88.505,5.3
4872,2023,Transit,Kepler-1996 b,32.376183,2.26
4873,2020,Transit,KOI-1783.02,284.215,5.44
4874,2016,Transit,Kepler-540 b,172.7049784,2.71
4875,2016,Transit,Kepler-755 c,2.85313364,1.26
4876,2016,Transit,Kepler-1015 b,16.00494214,3.55
4877,2016,Transit,Kepler-629 b,7.2385854,1.38
4878,2016,Transit,Kepler-772 b,12.99207337,1.82
4879,2016,Transit,Kepler-1096 b,2.89221751,1.24
4880,2016,Transit,Kepler-551 b,12.3764661,2.73
4881,2014,Transit,Kepler-197 b,5.599308,1.02
4882,2014,Transit,Kepler-289 b,34.5383,2.49
4883,2014,Transit,Kepler-230 b,32.625555,4.26
4884,2014,Transit,Kepler-373 c,16.725948,1.24
4885,2020,Radial Velocity,Kepler-88 d,1403.0,
4886,2016,Transit,Kepler-969 c,1.6829346,0.99
4887,2023,Transit,Kepler-2001 c,14.09258319,1.82
4888,2014,Transit,Kepler-220 b,4.159807,0.81
4889,2016,Transit,Kepler-910 b,2.36436901,0.82
4890,2016,Transit,Kepler-465 b,9.94067247,2.95
4891,2011,Transit,Kepler-34 b,288.822,8.564
4892,2011,Transit,Kepler-29 b,10.33974,2.55
4893,2014,Transit,Kepler-271 c,7.41086267,0.95
4894,2014,Transit,Kepler-174 c,44.000529,1.49
4895,2014,Transit,Kepler-197 d,15.677563,1.22
4896,2021,Transit,Kepler-1844 b,3.92451,3.036
4897,2016,Transit,Kepler-1435 b,4.45343281,0.86
4898,2014,Transit,Kepler-183 b,5.687945,2.06
4899,2014,Transit,Kepler-284 c,37.514456,2.61
4900,2014,Transit,Kepler-1972 b,7.54425,0.802
4901,2014,Transit,Kepler-178 b,9.576694,2.9
4902,2023,Transit,Kepler-1993 b,26.6565737,4.15
4903,2023,Transit,Kepler-1995 b,73.7578875,4.28
4904,2016,Transit,Kepler-1070 b,6.2216147,1.73
4905,2016,Transit,Kepler-603 d,6.2171292,1.32
4906,2014,Transit,Kepler-207 c,3.071571,1.5
4907,2014,Transit,Kepler-102 c,7.071392,0.567
4908,2014,Transit,Kepler-176 c,12.759712,2.6
4909,2016,Transit,Kepler-561 b,58.3620495,6.96
4910,2016,Transit,Kepler-1364 b,13.32196237,2.15
4911,2014,Transit,Kepler-95 b,11.5231,3.42
4912,2014,Transit,Kepler-141 b,3.107675,0.69
4913,2016,Transit,Kepler-558 b,29.00790538,2.37
4914,2021,Transit,Kepler-1916 b,31.25429916,2.618
4915,2016,Transit,Kepler-1565 b,1.53818844,1.19
4916,2014,Transit,Kepler-359 d,77.095691,4.01
4917,2016,Transit,Kepler-743 b,3.17926292,1.21
4918,2016,Transit,Kepler-1004 b,5.28789787,6.28
4919,2016,Transit,Kepler-1365 c,4.77468005,0.8
4920,2016,Transit,Kepler-1016 c,105.6551369,3.68
4921,2014,Transit,Kepler-248 b,6.308205,3.02
4922,2016,Transit,Kepler-1436 b,9.705716,1.31
4923,2014,Transit,Kepler-329 c,18.684737,1.93
4924,2021,Transit,Kepler-352 d,6.88727999,0.806
4925,2019,Transit Timing Variations,Kepler-82 f,75.732,
4926,2008,Transit,HAT-P-7 b,2.20474,16.926
4927,2014,Transit,Kepler-288 d,56.633742,2.67
4928,2016,Transit,Kepler-790 b,13.73469807,2.18
4929,2021,Transit,Kepler-1964 b,2.44082999,1.781
4930,2021,Transit,Kepler-1862 b,16.05730057,2.203
4931,2014,Transit,Kepler-343 c,23.22182,2.02
4932,2021,Transit,Kepler-607 c,39.67679977,2.76
4933,2014,Transit,Kepler-104 d,51.755394,3.58
4934,2021,Transit,Kepler-1940 b,4.95061016,1.547
4935,2016,Transit,Kepler-1115 b,23.5540725,1.7
4936,2016,Transit,Kepler-1555 b,8.10501635,1.61
4937,2016,Transit,Kepler-1589 b,0.99166527,1.09
4938,2014,Transit,Kepler-412 b,1.7208604,15.031
4939,2016,Transit,Kepler-1607 b,13.6473676,0.92
4940,2016,Transit,Kepler-1090 b,198.680179,2.25
4941,2016,Transit,Kepler-474 b,5.66067294,3.06
4942,2016,Transit,Kepler-982 b,15.7738221,2.25
4943,2016,Transit,Kepler-1349 b,2.12823928,0.7
4944,2016,Transit,Kepler-846 b,19.80792185,2.48
4945,2014,Transit,Kepler-265 b,6.846262,1.86
4946,2016,Transit,Kepler-1103 b,19.79191978,2.27
4947,2014,Transit,Kepler-152 b,18.207973,2.79
4948,2014,Transit,Kepler-387 c,11.837549,0.89
4949,2016,Transit,Kepler-656 b,1.26025909,3.12
4950,2016,Transit,Kepler-1279 b,23.4774101,1.75
4951,2011,Transit Timing Variations,Kepler-19 c,28.731,
4952,2014,Transit,Kepler-325 b,4.544439,2.91
4953,2014,Transit,Kepler-102 b,5.286965,0.46
4954,2016,Transit,Kepler-915 b,4.59489604,1.5
4955,2016,Transit,Kepler-1425 b,14.4541302,0.94
4956,2021,Transit,Kepler-1967 b,7.28169012,0.73
4957,2016,Transit,Kepler-1443 b,2.41811321,0.97
4958,2014,Transit,Kepler-292 b,2.580827,1.32
4959,2014,Transit,Kepler-251 c,16.514043,2.77
4960,2014,Transit,Kepler-264 b,40.806231,3.33
4961,2016,Transit,Kepler-667 b,41.43962808,4.73
4962,2016,Transit,Kepler-849 b,394.62508,8.082
4963,2014,Transit,Kepler-195 b,8.307872,2.03
4964,2014,Transit,Kepler-172 c,6.388996,2.86
4965,2011,Transit,Kepler-33 b,5.66793,1.74
4966,2014,Transit,Kepler-265 e,67.831024,2.59
4967,2014,Transit,Kepler-363 d,11.932125,2.05
